0,1,2,3,4,5,6
-10,850,800,300,0,3,5
-3,847,796,295,0,3,5
-3,844,792,290,0,3,5
-3,841,788,285,0,3,5
-3,838,784,280,0,3,5
-3,835,780,275,0,3,5
-3,832,776,270,0,3,5
-3,829,772,265,0,3,5
-3,826,768,260,0,3,5
-3,823,764,255,0,3,5
-3,820,760,250,0,3,5
-3,817,756,245,0,3,5
-3,814,752,240,0,3,5
-3,811,748,235,0,3,5
-3,808,744,230,0,3,5
-3,800,735,225,0,3,4
-3,792,726,220,0,3,4
-3,784,717,215,0,3,4
-3,776,708,210,0,3,4
-3,768,699,205,0,3,4
-3,760,690,200,0,3,4
-3,752,681,195,0,3,4
-3,744,672,190,0,3,4
-3,736,663,185,0,3,4
-3,728,654,180,0,3,4
-3,720,645,175,0,3,4
-3,712,636,170,0,3,4
-3,704,627,165,0,3,4
-3,696,618,160,0,3,4
-3,688,609,155,0,3,4
-3,680,600,150,0,3,4
-3,672,591,145,0,3,4
-3,664,582,140,0,3,4
-3,656,573,120,1,3,4
-3,648,564,101,1,3,4
-3,640,555,83,1,3,4
-3,632,546,66,1,3,4
-3,624,537,50,1,3,4
-3,616,528,35,1,3,4
-3,608,519,21,1,3,4
-3,600,510,8,1,3,4
-3,592,501,4,1,3,4
-3,584,492,15,1,3,4
-3,576,483,25,1,3,4
-3,568,474,34,1,3,4
-3,560,465,42,1,3,4
-3,552,456,49,1,3,4
-3,544,447,55,1,3,4
-3,536,438,60,1,3,4
-3,533,434,64,1,3,4
-3,530,430,67,1,3,4
-3,527,426,69,1,3,4
-3,524,422,70,1,3,4
-3,521,418,70,1,3,4
-3,518,414,69,1,3,4
-3,515,410,67,1,3,4
-3,512,406,64,1,3,4
-3,509,402,60,1,3,4
-3,506,398,55,1,3,4
-3,503,394,49,1,3,4
-3,500,390,42,1,3,4
-3,497,386,34,1,3,4
-3,494,382,25,1,3,4
-3,491,378,15,0,3,4
-3,488,374,20,0,3,4
-3,485,370,25,0,3,4
-3,482,366,30,0,3,4
-3,479,362,35,0,3,4
-3,476,358,40,0,3,4
-3,478,359,45,0,2,4
-3,480,360,50,0,2,4
-3,482,361,55,0,2,4
-3,484,362,60,0,2,4
-3,486,363,65,0,2,4
-3,488,364,70,0,2,4
-3,490,365,75,0,2,4
-3,492,366,80,0,2,4
-3,494,367,85,0,2,4
-3,496,368,90,0,2,4
-3,498,369,95,0,2,4
-3,500,370,100,0,2,4
-3,502,371,300,0,2,4
-3,504,372,295,0,2,4
-3,506,373,290,0,2,4
-3,508,374,285,0,2,4
-3,510,375,280,0,2,4
-3,512,376,275,0,2,4
-3,514,377,270,0,2,4
-3,516,378,265,0,2,4
-3,513,374,260,0,2,4
-3,505,365,255,0,2,4
-3,497,356,250,0,2,4
-3,489,347,245,0,2,4
-3,481,338,240,0,2,4
-3,473,329,235,0,2,4
-3,465,320,230,0,2,4
-3,457,311,225,0,2,4
-3,449,302,220,0,2,4
-3,441,293,215,0,2,4
-3,433,284,210,0,2,4
-3,425,275,205,0,2,4
-3,417,266,200,0,2,4
-3,409,257,195,0,2,4
-3,401,248,190,0,2,4
-3,393,239,185,0,2,4
-3,385,230,165,1,2,4
-3,377,221,146,1,2,4
-3,369,212,128,1,2,4
-3,361,203,111,1,2,4
-3,353,194,95,1,2,4
-3,345,185,80,1,2,4
-3,337,176,66,1,2,4
-3,329,167,53,1,2,4
-3,321,158,41,1,2,4
-3,313,149,30,1,2,4
-3,305,140,20,1,2,4
-3,297,131,11,1,2,4
-3,289,122,3,1,2,4
-3,281,113,4,1,2,4
-3,273,104,10,1,2,4
-3,265,95,15,1,2,4
-3,257,86,19,1,2,4
-3,249,77,22,1,2,4
-3,241,68,24,1,2,4
-3,233,59,25,1,2,4
-3,230,55,25,1,2,4
-3,227,51,24,1,2,4
-3,224,47,22,1,2,4
-3,221,43,19,1,2,4
-3,218,39,15,1,2,4
-3,215,35,10,1,2,4
-3,212,31,4,1,2,4
-3,209,27,3,1,2,4
-3,206,23,11,1,2,4
-3,203,19,20,1,2,4
-3,200,15,30,0,2,4
-3,197,11,25,0,2,4
-3,194,7,5,1,2,4
-3,191,3,14,1,2,4
-3,188,1,32,1,2,4
-3,185,5,49,1,2,4
-3,182,9,65,1,2,4
-3,179,13,80,1,2,4
-3,171,22,94,1,2,4
-3,163,31,107,1,2,4
-3,155,40,119,1,2,4
-3,147,49,130,1,2,4
-3,139,58,140,1,2,4
-3,131,67,149,1,2,4
-3,123,76,157,1,2,4
-3,115,85,164,1,2,4
-3,107,94,170,1,2,4
-3,99,103,175,1,2,4
-3,91,112,179,1,2,4
-3,83,121,182,1,2,4
-3,75,130,184,1,2,4
-3,67,139,185,1,2,4
-3,59,148,185,1,2,4
-3,51,157,184,1,2,4
-3,43,166,182,1,2,4
-3,35,175,179,1,2,4
-3,27,184,175,1,2,4
-3,19,193,235,1,2,4
-3,11,202,241,1,2,4
-3,3,211,248,1,2,4
-3,5,220,256,1,2,4
