0,1,2,3,4,5,6
-10,850,800,300,0,3,5
-6,844,793,295,0,3,5
-6,838,786,290,0,3,5
-6,832,779,285,0,3,5
-6,826,772,280,0,3,5
-6,820,765,275,0,3,5
-6,814,758,270,0,3,5
-6,808,751,265,0,3,5
-6,802,744,260,0,3,5
-6,796,737,255,0,3,5
-6,790,730,250,0,3,5
-6,784,723,245,0,3,5
-6,778,716,240,0,3,5
-6,772,709,235,0,3,5
-6,766,702,230,0,3,5
-6,760,695,225,0,3,5
-6,754,688,220,0,3,5
-6,748,681,215,0,3,5
-6,742,674,210,0,3,5
-6,736,667,205,0,3,5
-6,730,660,200,0,3,5
-6,724,653,195,0,3,5
-6,718,646,190,0,3,5
-6,712,639,185,0,3,5
-6,706,632,180,0,3,5
-6,700,625,175,0,3,5
-6,694,618,170,0,3,5
-6,688,611,165,0,3,5
-6,682,604,160,0,3,5
-6,676,597,155,0,3,5
-6,670,590,150,0,3,5
-6,664,583,145,0,3,5
-6,658,576,140,0,3,5
-6,652,569,135,0,3,5
-6,646,562,130,0,3,5
-6,635,550,125,0,3,4
-6,624,538,120,0,3,4
-6,613,526,115,0,3,4
-6,602,514,110,0,3,4
-6,591,502,105,0,3,4
-6,580,490,100,0,3,4
-6,569,478,95,0,3,4
-6,558,466,90,0,3,4
-6,547,454,85,0,3,4
-6,536,442,80,0,3,4
-6,530,435,75,0,3,4
-6,524,428,70,0,3,4
-6,518,421,65,0,3,4
-6,512,414,60,0,3,4
-6,506,407,55,0,3,4
-6,500,400,50,0,3,4
-6,494,393,45,0,3,4
-6,488,386,40,0,3,4
-6,482,379,35,0,3,4
-6,476,372,30,0,3,4
-6,470,365,25,0,3,4
-6,464,358,20,0,3,4
-6,458,351,15,0,3,4
-6,452,344,10,0,3,4
-6,446,337,5,0,3,4
-6,440,330,0,0,3,4
-6,434,323,5,0,3,4
-6,428,316,10,0,3,4
-6,422,309,15,0,3,4
-6,416,302,20,0,3,4
-6,410,295,25,0,3,4
-6,404,288,30,0,3,4
-6,398,281,35,0,3,4
-6,392,274,40,0,3,4
-6,386,267,45,0,3,4
-6,380,260,50,0,3,4
-6,374,253,55,0,3,4
-6,368,246,60,0,3,4
-6,362,239,65,0,3,4
-6,356,232,70,0,3,4
-6,350,225,75,0,3,4
-6,344,218,80,0,3,4
-6,338,211,85,0,3,4
-6,332,204,90,0,3,4
-6,326,197,95,0,3,4
-6,320,190,100,0,3,4
-6,314,183,300,0,3,4
-6,308,176,295,0,3,4
-6,302,169,290,0,3,4
-6,296,162,285,0,3,4
-6,290,155,280,0,3,4
-6,284,148,275,0,3,4
-6,278,141,270,0,3,4
-6,272,134,265,0,3,4
-6,266,127,260,0,3,4
-6,260,120,255,0,3,4
-6,254,113,250,0,3,4
-6,248,106,245,0,3,4
-6,242,99,240,0,3,4
-6,236,92,235,0,3,4
-6,230,85,230,0,3,4
-6,224,78,225,0,3,4
-6,218,71,220,0,3,4
-6,212,64,215,0,3,4
-6,206,57,210,0,3,4
-6,200,50,205,0,3,4
-6,194,43,200,0,3,4
-6,188,36,195,0,3,4
-6,182,29,190,0,3,4
-6,176,22,185,0,3,4
-6,170,15,180,0,3,4
-6,164,8,175,0,3,4
-6,158,1,170,0,3,4
-6,152,6,165,0,3,4
-6,146,13,160,0,3,4
-6,140,20,155,0,3,4
-6,134,27,150,0,3,4
-6,128,34,145,0,3,4
-6,117,46,140,0,3,4
-6,106,58,135,0,3,4
-6,95,70,130,0,3,4
-6,84,82,110,1,3,4
